winner_account.address,asset.collection.name
0x03a4a971959803687d3425ac8f150f9c9fe15758,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x03bbffc57d3e37de1aa016bad35c0a75dda8ff72,['BlockchainCuties']
0x03f02db9ecca631b17862b5045806a154f254ffc,['MyCryptoHeroes']
0x03f1771bfa46036f50681334a54cd0dfd088c244,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x03f7f1ab10e8ba1f6c3b7ea588087ee12d44dcc8,['Ether Kingdoms']
0x0411aaec3f6961cc355afec54505f94b7d442e85,['MyCryptoHeroes']
0x045f6ef4d31760b579138249370b163561e80fa9,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x0477bd91b283b623de90638d9c7650dfee854967,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x04801e48fc364d1c81b29f6d0cda654c614324ec,"['BlockchainCuties', 'Ethermon', 'Ethermon', 'MyCryptoHeroes']"
0x0480fee9005651ed2b8b7cb55e20d4abbb977dde,['MyCryptoHeroes']
0x0490fcefab0dfbd85aeda3eef8fb4a0628bba206,['MarbleCards']
0x04a218112f8cb66bb60dbbb70aeea03e9c32372a,['MyCryptoHeroes']
0x04b1864e9ba3eaef8de4319f26a42d2a2390a22e,['MyCryptoHeroes']
0x04b5eaafc9c6fbaef1d9851b902bbb527e76171e,['Mythereum']
0x04b77c5af67c9b3d3f85eefff73c5ec92206f814,['MyCryptoHeroes']
0x04bf698d78bf2deb753a0a48d53d042a6b9de31d,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x04c599c3e1091cbd00e8da14ed3a7e72caeedaf8,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x04e47c0462743e33024208e9873736b2fe8d4d6c,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x050c95c328bec930c9f033e67f9f30e2de9c8190,['MyCryptoHeroes']
0x0510a57282ac5551f9b63e3fa76d3abb85611b19,['Ether Kingdoms']
0x0528cb1cb568c24f8d40e1d4e76f7a17ae6a79ef,['MyCryptoHeroes']
0x052b7f24f51e7d8ae4c589bd92a44b7385fcfb15,['Ethermon']
0x0537544de3935408246ee2ad09949d046f92574d,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x053fbecc4774c7d65e777648a8b04f22f6a48257,['MyCryptoHeroes']
0x055d69ffabcc1137c4d8a7143d5cfcc03e7710c7,['ETH TOWN']
0x056d960caacd627b4dbfa650afdbf4426d541afe,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x057a06f60dbe890110d144160e8c9fecd39ae8ca,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x057dc43af6187a931e78a56b3293912a5b42e5ec,"['Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon']"
0x05900cb08e9766a2de57cec28209ee475ee60df8,['MyCryptoHeroes']
0x0598778fe3b47a8e1c8beb8bee0c7012ca7ce487,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x059fcc633c6c50b0b4d0e12546b7ca25ad76e4fb,['BlockchainCuties']
0x05a082d4a4ae72304cb0518eaf460fa474f00620,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x05a6c06fcee30fa84b018da889feeffabee08f1b,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x05a860a75b8f030d712c025887fdbd5d4b4cde8e,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x05ad759fbde97b0efddd5149ee9e14ace5bec871,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x05b88fd6764ebe76a8056ee1c6d41a4c0791b71f,"['BlockchainCuties', 'BlockchainCuties', 'Mythereum', 'Mythereum']"
0x05bd458b7c3fdbd6e1fb151bace8807e3935f061,"['Ethermon', 'Ethermon', 'Ethermon', 'Ethermon']"
0x05bfab2e5caac0a9b90128f7019f09cfa8184221,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x05c351382db8d770207f319d96ac1184c3717ede,"['Ethermon', 'Ethermon', 'Ethermon']"
0x05d48ee3e815bf376fc79d283301cfdef872e280,"['BlockchainCuties', 'BlockchainCuties', 'BlockchainCuties', 'BlockchainCuties', 'BlockchainCuties', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0']"
0x05d54495e37be54559aad0e10c902b969d47d411,['MyCryptoHeroes']
0x05daed4ebdce7e0eca746d03e0c57a480565cd9d,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x060c9dda4c79b8dbbda9d9db30bdc9fd766a268e,['MyCryptoHeroes']
0x06108ed3ffe18c637f27c92985e178aa2fec12c5,['MyCryptoHeroes']
0x0613e2c0e58e811e358c0e26b51842eeda05aed4,"['Darkwinds', 'Darkwinds']"
0x0614e07756390441cb246c886917487840e74f7d,"['MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards']"
0x0625cf5900faaee9c68872aa32214309563fc01e,['Ethermon']
0x064251b330ea5615e4a638131409a6aba1d7e621,"['Darkwinds', 'Darkwinds', 'Darkwinds']"
0x064d72f64496491a14cd880a1d018f3cc07376a0,['MyCryptoHeroes']
0x0653502fce854ea6074424105567534719f25587,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x06691961a6913dae5b0cc917837424c11db47e55,"['CryptoSaga', 'CryptoSaga', 'CryptoSaga', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x06716fa08dfd88bf0da5fc680fabc8e117ae9a22,['MyCryptoHeroes']
0x067277b8ffe9623799b7f2b2d83593e191684993,"['Ether Kingdoms', 'Ether Kingdoms', 'Ether Kingdoms', 'Ether Kingdoms', 'Ether Kingdoms']"
0x067dd25825f06be87e496e603d9d7bda6be527f3,['Mythereum']
0x0685d0674cd8d0199abfd9578dcc53ec99151fc1,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x068cfd47ae3e4a96c74b255e02939749434aafba,"['Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0']"
0x0698ce0aba84e0f1ceb5c0b4e41e23753169b923,['Ether Kingdoms']
0x069c956748afd845aafc1e281c13b1dfc9694e22,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x06cad0470d892037b55672b1a9ad85a16c86d12e,['ETH TOWN']
